galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
NGC6503_rotmod,56.88688546252287,16548034350.81908,3541689136.07997,13006345214.73911,0.0,0.0,3.6723565267884744
IC2574_rotmod,35.36852703233946,3122410433.028059,1755822819.137191,1366587613.8908672,0.0,0.0,0.7783174925146528
NGC6674_rotmod,134.36225675943777,255593049268.10284,33744151685.98516,204598636434.022,17250261148.095722,0.06749111995608754,6.063232477673968
F574-2_rotmod,35.34838797659002,5319738432.788899,1998149271.323906,3321589161.464994,0.0,0.0,1.6623328442645438
F568-3_rotmod,61.767615195988455,16383152657.198437,6358353653.447644,10024799003.750788,0.0,0.0,1.576634385272847
NGC5005_rotmod,291.528990705765,201041020855.90237,7161170494.003103,173068321476.38474,20811528885.514503,0.1035188181840328,24.167602436126238
F583-1_rotmod,38.06059129206897,7017583775.533212,5913427754.363232,1104156021.1699803,0.0,0.0,0.18672013374227445
UGC06923_rotmod,60.011958857215724,4368624116.2552805,1139569320.8474486,3229054795.4078307,0.0,0.0,2.8335746990858985
UGC00191_rotmod,44.239360125669926,5005496176.074343,2638344189.950542,2367151986.1238008,0.0,0.0,0.8972112111605025
NGC2841_rotmod,135.10653193361628,260382393453.5531,69895406848.24136,144317205865.96893,46169780739.342735,0.17731529435218316,2.064759508150715
NGC4157_rotmod,143.6010859755771,121919759631.32204,12729199613.044489,107172789805.69476,2017770212.582751,0.0165499851597835,8.419444510546242
F563-V2_rotmod,53.520265077045316,7286108208.43779,3811575797.193492,3474532411.244297,0.0,0.0,0.9115737417061563
UGC11820_rotmod,38.047077180653964,5667026149.624595,4601531264.979817,1065494884.644777,0.0,0.0,0.23155224278356618
UGC03205_rotmod,136.44637246749176,134443750786.65337,17021398533.56672,100032761065.32462,17389591187.762012,0.12934473403198396,5.876882611499693
NGC4214_rotmod,35.837245557011535,1449855391.3828804,253637021.04942703,1196218370.3334525,0.0,0.0,4.716260920365966
NGC4138_rotmod,129.6056632292565,47676775718.87312,2361350753.519375,36826221344.37969,8489203620.974055,0.1780574187950708,15.59540499838646
UGC06917_rotmod,69.11039152325041,12126409217.475183,3307372582.2650294,8819036635.21015,0.0,0.0,2.666478122997107
UGC06983_rotmod,59.461107905683534,11689357667.21952,5859275910.831414,5830081756.388104,0.0,0.0,0.9950174467139631
UGC12732_rotmod,45.386600760133796,8600534666.958218,6744130389.427979,1856404277.5302372,0.0,0.0,0.2752622162288432
NGC3726_rotmod,125.29597664010275,86406534052.06908,11506101900.9721,74900432151.09695,0.0,0.0,6.50962704795522
CamB_rotmod,17.162217231446345,112391369.12195069,19871694.60272274,92519674.51922797,0.0,0.0,4.655852274750201
NGC4068_rotmod,25.216244389421426,490606519.630223,213668345.78553808,276938173.8446849,0.0,0.0,1.2961123128769465
UGC02455_rotmod,75.79969352275943,4819099957.754252,829844420.3748413,3989255537.3794127,0.0,0.0,4.80723306614204
NGC3877_rotmod,199.17471978498028,97433019710.98302,2419543204.993716,95013476505.98932,0.0,0.0,39.269179533512855
UGC00634_rotmod,49.402901926062604,8857385933.269672,5508515836.949517,3348870096.320154,0.0,0.0,0.6079441714330583
UGC07323_rotmod,63.954092282454894,6129802958.992349,1116137331.3147838,5013665627.677564,0.0,0.0,4.491979156159558
UGC09133_rotmod,125.27607302920933,352836740533.09326,66478702434.91395,205656717053.59164,80701321044.58763,0.228721422045385,3.093572971809131
UGC10310_rotmod,45.534795046466215,3979753171.590168,1718239497.0708995,2261513674.519268,0.0,0.0,1.316180706109069
NGC6015_rotmod,83.24655286648132,43134618955.60116,9948200396.766268,33186418558.834896,0.0,0.0,3.335921798441291
NGC2976_rotmod,82.73156881672473,3333880329.395113,470262454.73151386,2863617874.6635995,0.0,0.0,6.089403578473046
UGC04499_rotmod,45.4441657717254,4068021194.918449,1979282606.349789,2088738588.5686595,0.0,0.0,1.055300835700633
NGC4085_rotmod,148.66943785313364,28816501012.4976,900943352.4688336,27915557660.028755,0.0,0.0,30.984808960000002
UGC00128_rotmod,50.52367302643055,27941799356.84308,15064810740.020945,12876988616.822147,0.0,0.0,0.8547726778016094
ESO563-G021_rotmod,206.98084750866687,382562942571.5088,38160534891.66034,344402407679.8486,0.0,0.0,9.02509382160455
NGC3741_rotmod,14.387178511936288,317519500.58581764,289624620.3825082,27894880.20330936,0.0,0.0,0.09631391200951252
UGC09037_rotmod,125.10464882809974,97502555696.54674,28817116821.577847,68685438874.968895,0.0,0.0,2.3834944800424385
UGC05829_rotmod,36.11150684795534,2580378158.444509,1922228224.425772,658149934.0187367,0.0,0.0,0.3423890699635035
D512-2_rotmod,20.254034515333537,417327826.8216482,58280275.4323407,359047551.3893076,0.0,0.0,6.160704436034051
UGC08286_rotmod,38.60455784002188,2700489823.684496,1292984516.1424792,1407505307.542017,0.0,0.0,1.0885708915843801
