galaxy_x,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio,galaxy_key,galaxy_y,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
NGC6503_rotmod,56.88688546252287,16548034350.81908,3541689136.07997,13006345214.73911,0.0,0.0,3.6723565267884735,NGC6503_rotmod,NGC6503_rotmod,1.0,6.824149500612269e-11,1.0,19.039728598885475,31
IC2574_rotmod,35.36852703233946,3122410433.028059,1755822819.137191,1366587613.8908672,0.0,0.0,0.7783174925146528,IC2574_rotmod,IC2574_rotmod,1.0,2.2545694780227996e-10,1.0,10.473472281614074,34
NGC6674_rotmod,134.36225675943777,255593049268.10284,33744151685.98516,204598636434.022,17250261148.095722,0.0674911199560875,6.063232477673968,NGC6674_rotmod,NGC6674_rotmod,1.0,3.0106123736109065e-11,0.06907158515034494,36.29355104707539,15
F574-2_rotmod,35.34838797659002,5319738432.788899,1998149271.323906,3321589161.464994,0.0,0.0,1.6623328442645438,F574-2_rotmod,F574-2_rotmod,1.0,1.5578864094755613e-10,1.0,13.724736654809044,5
F568-3_rotmod,61.767615195988455,16383152657.198437,6358353653.447644,10024799003.750788,0.0,0.0,1.576634385272847,F568-3_rotmod,F568-3_rotmod,1.0,1.4809845715100106e-10,1.0,14.380279873369924,18
NGC5005_rotmod,291.528990705765,201041020855.9024,7161170494.003103,173068321476.38474,20811528885.514503,0.1035188181840328,24.16760243612624,NGC5005_rotmod,NGC5005_rotmod,0.9999999999998795,9.860089576973349e-12,0.07853865714383965,46.33932541168736,18
F583-1_rotmod,38.06059129206897,7017583775.533212,5913427754.363232,1104156021.1699803,0.0,0.0,0.1867201337422744,F583-1_rotmod,F583-1_rotmod,1.0,3.1363327252416105e-10,1.0,8.072605121309705,25
UGC06923_rotmod,60.01195885721573,4368624116.2552805,1139569320.8474486,3229054795.4078307,0.0,0.0,2.8335746990858985,UGC06923_rotmod,UGC06923_rotmod,1.0,8.581704091819743e-11,1.0,17.91460283426446,6
UGC00191_rotmod,44.239360125669926,5005496176.074343,2638344189.950542,2367151986.1238008,0.0,0.0,0.8972112111605025,UGC00191_rotmod,UGC00191_rotmod,1.0,1.4701829615112052e-10,1.0,11.833842415231361,9
NGC2841_rotmod,135.10653193361628,260382393453.5531,69895406848.24136,144317205865.96893,46169780739.342735,0.1773152943521831,2.064759508150715,NGC2841_rotmod,NGC2841_rotmod,0.9999999999997954,1.8437747587167723e-11,0.17728907931716986,40.945079214848995,50
