galaxy,Npoints,data_quality_flag,has_bulge,bulge_size_kpc,gas_negative_flag,R_max_kpc,Mtot_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total_at_Rmax,disk_vs_gas_ratio,Phi_N_Rmax,shear_mean,v_flat_kms
CamB_rotmod,9,ok,False,0.0,False,1.79,112391369.12195069,19871694.60272274,92519674.51922795,0.0,0.0,3.7915857320286817,3.0047804606762723e-09,0.9717415099129585,15.080000000000002
D512-2_rotmod,4,review,False,0.0,False,3.83,417327826.82164824,58280275.4323407,359047551.38930756,0.0,0.0,8.473593845059266,5.214484556947805e-09,0.3466102742970071,32.375
D564-8_rotmod,6,ok,False,0.0,False,3.07,77148229.6273317,35376060.84056732,41772168.78676437,0.0,0.0,1.7619455688020969,1.202597799235049e-09,0.6005440740457993,21.16
D631-7_rotmod,16,ok,False,0.0,False,7.19,658689865.5335963,453463010.6734288,205226854.8601676,0.0,0.0,0.7348984347478813,4.3841449743165594e-09,0.6601266000053374,57.7
DDO064_rotmod,14,review,False,0.0,True,2.98,545756640.2492838,340544153.51745045,205212486.73183313,0.0,0.0,1.3662034030175096,8.764266606030432e-09,0.6489215124073028,46.46
DDO154_rotmod,12,ok,False,0.0,False,5.92,390621003.52837855,336682840.5096149,53938163.018763706,0.0,0.0,0.4517894680661748,3.1576697048785994e-09,0.4985810060862607,46.959999999999994
DDO161_rotmod,31,ok,False,0.0,False,13.37,2978248034.3085856,2404136728.86676,574111305.4418261,0.0,0.0,0.5316175431901082,1.0660124388340862e-08,0.4848887433565829,66.52000000000001
DDO168_rotmod,10,ok,False,0.0,False,4.12,752037327.7350788,495340587.7399184,256696739.9951603,0.0,0.0,0.5634558336446779,8.735243129318272e-09,0.5925691286561156,53.36
DDO170_rotmod,8,ok,False,0.0,False,12.33,2423287337.9378586,1777409713.1867368,645877624.7511218,0.0,0.0,0.6308880870907995,9.405343301476899e-09,0.4028174472275813,59.08
ESO079-G014_rotmod,15,ok,False,0.0,False,16.67,66169726422.2711,6354142229.668014,59815584192.603065,0.0,0.0,21.737206964059272,1.899575479942726e-07,0.5012471508024339,172.6
ESO116-G012_rotmod,15,review,False,0.0,True,9.86,7532542627.742089,2609713606.1481504,4922829021.593938,0.0,0.0,5.5967036457223545,3.655926861660038e-08,0.46132137708515647,110.0
ESO444-G084_rotmod,7,ok,False,0.0,False,4.44,290659785.92687553,215548220.9370836,75111564.98979202,0.0,0.0,0.5926826372192797,3.1328153279264733e-09,0.4469798058076799,56.879999999999995
ESO563-G021_rotmod,30,ok,False,0.0,False,42.41,382562942571.5088,38160534891.66034,344402407679.8486,0.0,0.0,39.80081096306171,4.3168548140695824e-07,0.5158746296394964,317.6
F561-1_rotmod,6,ok,False,0.0,False,9.66,7412718984.675573,1922877193.1039305,5489841791.571644,0.0,0.0,4.45695041654613,3.672258339182793e-08,0.4199722450207084,47.220000000000006
F563-1_rotmod,17,ok,False,0.0,False,20.1,8112817036.951536,5836532741.43328,2276284295.518252,0.0,0.0,1.2478881481055382,1.9315610536341107e-08,0.40466206471865857,110.6
F563-V1_rotmod,6,ok,False,0.0,False,7.87,1740342877.6480079,744410186.1371679,995932691.5108399,0.0,0.0,1.9908225537355895,1.058261273483594e-08,0.47408387263493706,27.140000000000004
F563-V2_rotmod,10,ok,False,0.0,False,10.47,7286108208.43779,3811575797.193492,3474532411.244297,0.0,0.0,1.897593293559906,3.3302876810198314e-08,0.5769811590447532,116.6
F565-V2_rotmod,7,ok,False,0.0,False,8.8,2217662552.790262,1503721764.6778018,713940788.1124599,0.0,0.0,0.9278646401117486,1.205995276181209e-08,0.6918226857461665,72.25999999999999
F567-2_rotmod,5,review,False,0.0,True,9.59,3743449978.1626453,1307954580.6570349,2435495397.505612,0.0,0.0,4.443700169188017,1.8680403069940306e-08,0.3809634176694599,44.31999999999999
F568-1_rotmod,12,review,False,0.0,True,13.23,14591627230.709446,6913938835.38999,7677688395.319459,0.0,0.0,2.904425071126454,5.278088863607092e-08,0.6245979278372273,131.2
F568-3_rotmod,18,ok,False,0.0,False,17.98,16383152657.198435,6358353653.447644,10024799003.750788,0.0,0.0,4.422352634195987,4.3605433300625454e-08,0.6336982307724135,108.5
F568-V1_rotmod,15,review,False,0.0,True,17.63,9817499531.149529,5321163641.006958,4496335890.142572,0.0,0.0,4.959666539982092,2.6649029197987577e-08,0.4792758441776884,113.0
F571-8_rotmod,13,ok,False,0.0,False,15.55,11568274772.490488,460017518.64358205,11108257253.846909,0.0,0.0,106.01198054738552,3.560172309101069e-08,0.5695913167568708,131.8
F571-V1_rotmod,7,ok,False,0.0,False,13.59,4853091370.032733,2620777856.4007936,2232313513.6319413,0.0,0.0,1.629622190711483,1.7089597215547922e-08,0.488420857741857,79.72
F574-1_rotmod,14,ok,False,0.0,False,12.6,10019647913.724644,2640083721.610425,7379564192.114219,0.0,0.0,7.582395293251816,3.805526333441631e-08,0.5235060481131895,98.41999999999999
F574-2_rotmod,5,review,False,0.0,True,10.83,5319738432.788899,1998149271.323906,3321589161.464994,0.0,0.0,2.813899802667986,2.350686093368992e-08,0.722801875229644,28.32
F579-V1_rotmod,14,review,False,0.0,True,15.16,18091650098.72058,3847734142.1482253,14243915956.572353,0.0,0.0,12.147940164323087,5.710995186936256e-08,0.27670966807678354,113.4
F583-1_rotmod,25,review,False,0.0,True,16.26,7017583775.533212,5913427754.363232,1104156021.1699803,0.0,0.0,1.8312227854198015,2.0653795871406838e-08,0.6030836655456875,82.96000000000001
F583-4_rotmod,12,ok,False,0.0,False,7.29,2713678146.5874763,398325047.32584095,2315353099.2616343,0.0,0.0,12.072326670923365,1.7814089285696744e-08,0.5020863065434356,65.16
